,Unnamed: 0,AccidentType,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_en,AccidentWeekDay_en,AccidentHour
0,0,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt433,Minor road,2682382,1246980,ZH,261,2011,1,January,Saturday,1.0
1,1,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,True,rt433,Minor road,2500845,1117371,GE,6621,2011,1,January,Saturday,1.0
2,2,at00,Other,as2,Accident with severe injuries,False,True,False,rt433,Minor road,2585073,1221306,BE,371,2011,1,January,Saturday,2.0
3,3,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,False,rt433,Minor road,2612312,1265690,BS,2701,2011,1,January,Saturday,2.0
4,4,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt433,Minor road,2713199,1088015,TI,5203,2011,1,January,Saturday,2.0
5,5,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,False,False,rt433,Minor road,2681199,1247102,ZH,261,2011,1,January,Saturday,2.0
6,6,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2714569,1094876,TI,5205,2011,1,January,Saturday,3.0
7,7,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,True,False,False,rt433,Minor road,2583509,1105080,VS,6037,2011,1,January,Saturday,4.0
8,8,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt430,Motorway,2721281,1123207,TI,5002,2011,1,January,Saturday,5.0
9,9,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2539139,1171129,VD,5539,2011,1,January,Saturday,6.0
10,10,at6,Accident with head-on collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2719804,1080249,TI,5254,2011,1,January,Saturday,7.0
11,11,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt430,Motorway,2560023,1142789,VD,5886,2011,1,January,Saturday,10.0
12,12,at6,Accident with head-on collision,as2,Accident with severe injuries,False,False,False,rt432,Principal road,2763086,1170646,GR,3542,2011,1,January,Saturday,10.0
13,13,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt433,Minor road,2745234,1188746,GR,3734,2011,1,January,Saturday,11.0
14,14,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt430,Motorway,2674371,1246306,ZH,242,2011,1,January,Saturday,14.0
15,15,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,True,False,rt433,Minor road,2683238,1246773,ZH,261,2011,1,January,Saturday,15.0
16,16,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2618044,1162349,BE,567,2011,1,January,Saturday,15.0
17,17,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,False,False,rt432,Principal road,2664064,1213427,LU,1024,2011,1,January,Saturday,15.0
18,18,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt430,Motorway,2557967,1149240,VD,5892,2011,1,January,Saturday,16.0
19,19,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt430,Motorway,2664689,1214585,LU,1024,2011,1,January,Saturday,17.0
20,20,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt433,Minor road,2571739,1105700,VS,6136,2011,1,January,Saturday,18.0
21,21,at6,Accident with head-on collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2622652,1228919,BE,342,2011,1,January,Saturday,20.0
22,22,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,False,rt432,Principal road,2684424,1251030,ZH,261,2011,1,January,Saturday,20.0
23,23,at0,Accident with skidding or self-accident,as1,Accident with fatalities,False,False,False,rt432,Principal road,2690713,1250095,ZH,191,2011,1,January,Sunday,4.0
24,24,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2710580,1266748,TG,4566,2011,1,January,Sunday,10.0
25,25,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt434,Motorway side installation,2648518,1203382,LU,1002,2011,1,January,Sunday,10.0
26,26,at0,Accident with skidding or self-accident,as1,Accident with fatalities,False,False,False,rt433,Minor road,2574818,1167570,FR,2129,2011,1,January,Sunday,10.0
27,27,at1,Accident when overtaking or changing lanes,as3,Accident with light injuries,False,False,True,rt432,Principal road,2576259,1184085,FR,2197,2011,1,January,Sunday,12.0
28,28,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt439,Other,2592634,1120730,VS,6265,2011,1,January,Sunday,12.0
29,29,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt433,Minor road,2683621,1246913,ZH,261,2011,1,January,Sunday,13.0
30,30,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2659288,1223590,LU,1081,2011,1,January,Sunday,14.0
31,31,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt433,Minor road,2683641,1247658,ZH,261,2011,1,January,Sunday,14.0
32,32,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,True,rt432,Principal road,2497737,1113069,GE,6633,2011,1,January,Sunday,14.0
33,33,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2732441,1242331,SG,3378,2011,1,January,Sunday,15.0
34,34,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2640967,1245128,SO,2572,2011,1,January,Sunday,15.0
35,35,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2554274,1145813,VD,5890,2011,1,January,Sunday,16.0
36,36,at2,Accident with rear-end collision,as2,Accident with severe injuries,False,False,False,rt432,Principal road,2671113,1246748,AG,4075,2011,1,January,Sunday,16.0
37,37,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,Principal road,2563094,1130791,VD,5415,2011,1,January,Sunday,17.0
38,38,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt432,Principal road,2658259,1258233,AG,4123,2011,1,January,Sunday,19.0
39,39,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2608219,1227757,SO,2513,2011,1,January,Sunday,19.0
40,40,at4,Accident when turning-into main road,as2,Accident with severe injuries,False,False,False,rt432,Principal road,2712911,1112583,TI,5397,2011,1,January,Sunday,22.0
41,41,at7,Accident when parking,as3,Accident with light injuries,False,False,False,rt433,Minor road,2633609,1126553,VS,6297,2011,1,January,Monday,0.0
42,42,at5,Accident when crossing the lane(s),as2,Accident with severe injuries,False,False,True,rt433,Minor road,2661238,1244634,AG,4080,2011,1,January,Monday,5.0
