,CantonCode,MunicipalityCode
0,JU,6721
1,VS,6117
2,BE,629
3,FR,2038
4,BL,2790
5,VD,5683
6,VS,6004
7,SO,2549
8,SO,2463
9,GR,3662
10,BL,2859
11,VD,5534
12,VD,5828
13,VD,5935
14,VS,6058
15,VD,5483
16,VD,5684
17,SO,2524
18,BE,606
19,SZ,1369
20,GR,3669
21,VS,6054
22,VS,6010
23,GR,3805
24,VD,5903
25,VD,5758
26,VD,5436
27,TI,5009
28,BL,2889
29,VS,6192
30,VS,6299
31,GR,3804
32,BL,2857
33,FR,2061
34,TI,5071
35,TI,5117
36,TI,5307
37,VD,5762
38,BL,2850
39,BE,681
40,VD,5937
41,VD,5563
42,TI,5096
43,JU,6719
44,TI,5149
45,ZH,41
46,GR,3810
47,LU,1001
48,VD,5862
49,VS,6101
50,JU,6793
51,BE,335
52,FR,2086
53,BE,707
54,VD,5629
55,TI,5304
56,VD,5921
57,VD,5559
58,AG,4251
59,BE,336
60,VD,5640
61,VS,6172
62,BL,2853
63,SH,2951
64,SH,2914
65,VD,5813
66,VD,5533
67,AG,4105
68,FR,2271
69,VD,5741
70,AG,4319
71,VD,5665
72,NE,6422
73,BE,869
74,BL,2865
75,GR,3713
76,BE,924
77,VD,5908
78,BE,741
79,AG,4262
80,GR,3881
81,BL,2894
82,VD,5565
83,BL,2774
84,BE,704
85,AG,4172
86,VD,5671
87,AG,4137
88,BE,991
89,AG,4068
90,BE,958
91,BE,972
92,TI,5160
93,FR,2278
94,VD,5798
95,BE,932
96,BE,325
97,TI,5112
98,VS,6104
99,BL,2848
100,GR,3932
101,LU,1007
102,BE,493
103,VD,5827
104,GR,3603
105,TI,5233
106,FR,2123
107,SO,2456
108,VD,5551
109,JU,6773
110,BL,2781
111,VD,5765
112,AG,4179
113,VD,5476
114,TI,5315
115,GR,3670
116,AG,4133
117,AG,4257
118,BL,2868
119,VS,6294
120,FR,2143
121,BE,708
122,GR,3783
123,SZ,1363
124,SO,2421
125,VS,6288
126,VS,6191
127,SG,3375
128,VS,6296
129,SG,3211
130,ZH,40
131,VD,5557
132,VS,6181
133,GR,3715
134,JU,6703
135,VD,5904
136,BE,423
137,GR,3514
138,AG,4261
139,GR,3672
140,BL,2862
141,FR,2328
142,SG,3219
143,VD,5706
144,VD,5515
145,VD,5535
146,BE,666
147,BE,687
148,SO,2491
149,VD,5929
150,JU,6744
151,AG,4232
152,BE,866
153,BE,579
154,BE,442
155,FR,2257
156,BE,391
157,SH,2933
158,BE,309
159,GR,3782
160,VS,6281
161,FR,2072
162,SH,2919
163,AI,3105
164,BE,556
165,SH,2973
166,VD,5852
167,TI,5219
168,FR,2128
169,VD,5631
170,SO,2514
171,BE,536
172,BE,734
173,ZH,32
174,VD,5522
175,JU,6781
176,VD,5931
177,BL,2841
178,BE,665
179,TG,4611
180,BE,613
181,ZH,218
182,BL,2863
183,VS,6011
184,VD,5490
185,GE,6624
186,TI,5064
187,VD,5497
188,VS,6282
189,TI,5309
190,VD,5530
191,ZH,98
192,JU,6787
193,GR,3633
194,FR,2041
195,GR,3618
196,AG,4145
197,VD,5623
198,BE,960
199,GR,3681
200,BL,2866
201,BE,735
202,FR,2137
203,VD,5932
204,ZH,29
205,SG,3374
206,TG,4536
207,VD,5426
208,BE,491
209,AG,4074
210,SO,2615
211,VS,6102
212,TI,5144
213,FR,2067
214,VD,5653
215,SZ,1374
216,AG,4233
217,ZH,30
218,VS,6112
219,VD,5748
220,AG,4030
221,VS,6211
222,VS,6111
223,JU,6759
224,BE,614
225,VD,5692
226,VS,6116
227,VD,5799
228,VS,6056
229,AG,4309
230,VS,6239
231,AG,4164
232,BE,323
233,TG,4801
234,BE,669
235,TG,4606
236,LU,1064
237,TI,5077
238,FR,2173
239,TG,4601
240,BL,2895
241,VS,6298
242,JU,6748
243,VD,5760
244,BE,580
245,AG,4256
246,BE,450
247,SH,2903
248,ZH,99
249,BE,908
250,VD,5645
251,VD,5481
252,TI,5208
253,BE,706
254,BE,987
255,BL,2833
256,FR,2300
257,AG,4287
258,TI,5195
259,SO,2584
260,VD,5427
261,JU,6743
262,ZH,23
263,ZH,38
264,BE,946
265,FR,2025
266,AG,4273
267,VD,5674
268,TI,5063
269,BE,841
270,JU,6792
271,SH,2972
272,SG,3372
273,ZH,70
274,BE,433
275,BE,692
276,ZH,21
277,FR,2027
278,GE,6639
279,VS,6201
280,VS,6177
281,SO,2511
282,JU,6785
283,AG,4112
284,VS,6061
285,TI,5214
286,BE,971
287,VD,5752
288,AG,4284
289,BE,747
290,BE,940
291,FR,2115
