,Unnamed: 0,AccidentType,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_en,AccidentWeekDay_en,AccidentHour
112036,112036,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt432,Principal road,2648420,1209073,LU,1002,2017,4,April,Saturday,12.0
25345,25345,at6,Accident with head-on collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2750429,1264712,TG,4401,2012,5,May,Saturday,1.0
189460,189460,at6,Accident with head-on collision,as2,Accident with severe injuries,False,False,True,rt433,Minor road,2598045,1119496,VS,6090,2021,9,September,Thursday,13.0
156942,156942,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt433,Minor road,2705237,1114486,TI,5120,2019,9,September,Thursday,11.0
202789,202789,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2601637,1199714,BE,351,2022,6,June,Tuesday,17.0
181627,181627,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt430,Motorway,2679370,1201709,NW,1501,2021,4,April,Saturday,17.0
20462,20462,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt432,Principal road,2718382,1231881,SG,3339,2012,2,February,Wednesday,20.0
185951,185951,at4,Accident when turning-into main road,as2,Accident with severe injuries,False,True,False,rt433,Minor road,2671718,1212041,LU,1063,2021,6,June,Wednesday,6.0
72599,72599,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,True,rt432,Principal road,2712235,1093444,TI,5193,2015,1,January,Wednesday,14.0
129016,129016,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,Principal road,2648070,1248780,AG,4003,2018,4,April,Saturday,15.0
103559,103559,at6,Accident with head-on collision,as3,Accident with light injuries,False,True,False,rt439,Other,2675855,1256059,ZH,96,2016,9,September,Wednesday,19.0
