Geo Point;Geo Shape;Id_Strassentyp/Weg;Strassenname;Strassennetzhierarchie;Strassennetzhierarchien Beschreibung;Gemeinde;Kategorie;Weg
47.55919919527341, 7.596332800114834;"{""coordinates"": [[7.595992407599923, 47.559444160677124], [7.596065794320538, 47.55939150221588], [7.59667311048759, 47.558954115604166]], ""type"": ""LineString""}";4616;Rebgasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.570674254477794, 7.664114611830848;"{""coordinates"": [[7.664116938443148, 47.57023213562077], [7.664113471621281, 47.570257666490306], [7.664080901201348, 47.57049685437367], [7.664062327970147, 47.57063322600509], [7.664056089665848, 47.57067904305325], [7.664109044488096, 47.57082254298408], [7.664157478850288, 47.570927828386836], [7.66423589236681, 47.57109843989148]], ""type"": ""LineString""}";4622;Anstaltsweg;;;Bettingen;;
47.548151926672105, 7.60933243607664;"{""coordinates"": [[7.609396494074236, 47.54821726691834], [7.609268378079043, 47.54808658642587]], ""type"": ""LineString""}";4633;Karl Barth-Platz;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.55030699242813, 7.57420778356464;"{""coordinates"": [[7.574652689332807, 47.550770812547924], [7.573796475528394, 47.54987819784789], [7.573762870675742, 47.54984317914014]], ""type"": ""LineString""}";6266;Marschalkenstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.54710942938358, 7.570688609020298;"{""coordinates"": [[7.570897613714276, 47.547263807396426], [7.570794402031757, 47.547189527999286], [7.570572562130484, 47.5470214069451], [7.570479149220351, 47.54695569622571]], ""type"": ""LineString""}";6271;Marschalkenstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.54664802754709, 7.570065621374092;"{""coordinates"": [[7.570479149220351, 47.54695569622571], [7.570376381954056, 47.546883394574344], [7.569705353771423, 47.54637581408542], [7.569688838517449, 47.54636336728619], [7.569671991715268, 47.5463511367074], [7.569653602526666, 47.54633828728885]], ""type"": ""LineString""}";6272;Marschalkenstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.56667566792744, 7.647451504416446;"{""coordinates"": [[7.647852232741537, 47.56693938617017], [7.647836643321258, 47.56691182147557], [7.647821669600389, 47.56688537988637], [7.647794237944407, 47.56683695306309], [7.647785226447749, 47.56682293906198], [7.647774410085514, 47.5668095308829], [7.647761855724545, 47.56679683632968], [7.647747683314747, 47.56678494512342], [7.647731986299283, 47.56677396502025], [7.647714924422246, 47.56676396768227], [7.647696591090796, 47.56675505187195], [7.647677159301506, 47.56674728023398], [7.647656788726868, 47.566740706443284], [7.647635612497399, 47.56673539321632], [7.647613830115183, 47.56673138516292], [7.647591614399362, 47.56672869995989], [7.647376668716883, 47.56670752778277], [7.647258306391194, 47.56664951471417], [7.647198001501094, 47.56660158736766], [7.647172741133456, 47.56658149570474], [7.647174029949808, 47.56642860020031], [7.647146165657412, 47.566364479954835], [7.647140868974893, 47.566352275976456]], ""type"": ""LineString""}";534;Eulenweg;;;Riehen;;
47.583126987138066, 7.653546134144653;"{""coordinates"": [[7.653308756089524, 47.58362784392269], [7.653354435804595, 47.58350060725057], [7.653463369704249, 47.58319722083036], [7.653495845385801, 47.583121811961405], [7.653538100143809, 47.58304865142926], [7.653589817317004, 47.582978333389946], [7.653650587021858, 47.58291140720185], [7.653719932883913, 47.5828484133512], [7.653896336821109, 47.58270310033852]], ""type"": ""LineString""}";541;Mohrhaldenstrasse;;;Riehen;;
47.55881537246883, 7.588734810628735;"{""coordinates"": [[7.588781558100395, 47.55883382585869], [7.588688063157073, 47.558796919078965]], ""type"": ""LineString""}";1486;Martinskirchplatz;;;Basel;Wege;Gasse/Treppe/sonst. Weg
47.550886054699866, 7.592249042550435;"{""coordinates"": [[7.591957164543118, 47.551081773397804], [7.591990444883529, 47.55105946107317], [7.592483428022614, 47.55072888439682], [7.592540918678162, 47.55069033319865]], ""type"": ""LineString""}";1491;Hermann Kinkelin-Strasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
